inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status,geocode_precision,geocode_query,geocode_display,shift_from_city_km
es-polytechnic-univ-of-catalonia,csrankings,Polytechnic Univ. of Catalonia,es,,https://www.cs.upc.edu/,76,Universitat Politècnica de Catalunya,03mb6wj31,Universitat Politècnica de Catalunya,Barcelona,41.3892354,2.1157546,1.00,1.00,1,,,,auto,street,"Universitat Politècnica de Catalunya, Barcelona","Rectorat de la Universitat Politècnica de Catalunya, Carrer de Bet Figueras, Zona Universi",3.61
gb-king-s-college-london,csrankings,King's College London,gb,,https://www.kcl.ac.uk/informatics,76,King's College London,0220mzb33,King's College London,London,51.50853,-0.12574,1.00,1.00,0,,,,auto,city_centroid,,,0.00
gb-university-of-sheffield,csrankings,University of Sheffield,gb,,https://www.sheffield.ac.uk/cs,76,University of Sheffield,05krs5044,University of Sheffield,Sheffield,53.3729622,-1.5059315,1.00,1.00,1,,,,auto,street,"University of Sheffield, Sheffield","University of Sheffield, Western Bank, Saint George's Quarter, Netherthorpe, Sheffield, So",2.88
ee-university-of-tartu,csrankings,University of Tartu,ee,,https://cs.ut.ee/,70,University of Tartu,03z77qz90,University of Tartu,Tartu,58.381014,26.7195598,1.00,1.00,1,,,,auto,building,"University of Tartu, Tartu","Tartu Ülikool, 18, Ülikooli, Vanalinn, Kesklinn, Tartu linn, Tartu maakond, 50090, Eesti",0.33
at-graz-university-of-technology,csrankings,Graz University of Technology,at,,https://www.tugraz.at/fakultaeten/csbme/home,69,Graz University of Technology,00d7xrm67,Graz University of Technology,Graz,47.0582807,15.4602462,1.00,1.00,1,,,,auto,street,"Graz University of Technology, Graz","Technische Universität Graz, Eduard-Richter-Gasse, Herz-Jesu-Viertel, Katastralgemeinde St",1.71
fi-aalto-university,csrankings,Aalto University,fi,,https://www.aalto.fi/en/department-of-computer-science,69,Aalto University,020hwjq30,Aalto University,Espoo,60.1844626,24.8235709,1.00,1.00,1,,,,auto,street,"Aalto University, Espoo","Aalto-yliopisto, Anna Sinebrychoffin kuja, Kivimies, Otaniemi, Suur-Tapiola, Espoo, Helsin",9.75
pl-university-of-warsaw,csrankings,University of Warsaw,pl,,https://www.mimuw.edu.pl/en/,69,University of Warsaw,039bjqg32,University of Warsaw,Warsaw,52.2216394,21.007377,1.00,1.00,0,,,,auto,building,"University of Warsaw, Warsaw","Politechnika Warszawska, 1, Plac Politechniki, Koszyki, Śródmieście Południowe, Śródmieści",0.95
nl-vu-amsterdam,csrankings,VU Amsterdam,nl,,https://vu.nl/en/about-vu/faculties/faculty-of-science/departments/computer-science,68,VU Amsterdam,008xxew50,Vrije Universiteit Amsterdam,Amsterdam,52.3340539,4.8651882,1.00,1.00,1,,,,auto,building,"VU Amsterdam, Amsterdam","Vrije Universiteit Amsterdam, 1105, De Boelelaan, VU-kwartier, Zuidas, Zuid, Amsterdam, No",4.75
gb-brunel-university-london,csrankings,Brunel University London,gb,,https://www.brunel.ac.uk/computer-science,67,Brunel University London,00dn4t376,Brunel University of London,London,51.5318525,-0.4662887,1.00,1.00,1,,,,auto,street,"Brunel University London, London","Brunel University, Kingston Lane, Hillingdon, London Borough of Hillingdon, Greater London",23.70
ch-eth-zurich,csrankings,ETH Zurich,ch,,https://inf.ethz.ch/,65,ETH Zurich,05a28rw58,ETH Zurich,Zurich,47.3748552,8.5488914,1.00,1.00,1,,,,auto,street,"ETH Zürich, Rämistrasse, Zürich","Zürich UNI / ETH, Rämistrasse, Hochschulen, Altstadt, Zürich, Bezirk Zürich, Zürich, 8006,",0.91
