name,core_papers,sources,dblp_current,status,reason_code,reason
Fabian J. Theis,17,de-helmholtz-munich;de-mcml;de-tu-munich;csrankings,"Helmholtz Munich, Institute for Computational Biology, Germany|Technical University Munich, Germany",include,,on an institution directory here
Valentin Hofmann,17,de-mcml,,include,,on an institution directory here; no corroborating DBLP affiliation note
Matthias Müller 0011,17,,"Intel Intelligent Systems Lab, Munich, Germany|King Abdullah University of Science and Technology (KAUST), Image and Vid",queue,,current DBLP affiliation here but on no institution directory
Debarghya Ghoshdastidar,17,de-mcml;de-tu-munich;csrankings,"Technical University of Munich, Germany|Eberhard Karls Universität of Tübingen, Germany|Indian Institute of Science, Ban",include,,on an institution directory here
Eckehard G. Steinbach,17,de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Yuning Cui 0001,17,,"Technical University of Munich, Germany|National University of Defense Technology, Changsha, China",queue,,current DBLP affiliation here but on no institution directory
Xiao Xiang Zhu 0001,16,de-mcml,"Technical University Munich, Data Science in Earth Observation, Germany",include,,on an institution directory here
Fan Wu 0015,16,,"Technical University of Munich, School of Computation, Information and Technology, Germany",queue,,current DBLP affiliation here but on no institution directory
Sandra Hirche,16,de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Slobodan Ilic,16,,"Technical University Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Alin Albu-Schäffer,15,de-tu-munich;csrankings;csrankings,"TU Munich, Faculty of Computer Science|German Aerospace Center (DLR), Institute of Robotics and Mechatronics",include,,on an institution directory here
Achim J. Lilienthal,15,de-mcml;de-tu-munich;csrankings,"TU Munich, Germany",include,,on an institution directory here
Dongheui Lee,15,,"TU Wien, Vienna, Austria",exclude,E08,DBLP labels the affiliation former
Michael Beetz,14,,"University of Bremen, Germany|Technical University Munich, Germany|University of Bonn, Germany",exclude,E08,CSRankings files them at University of Bremen (de)
Haris Aziz 0001,13,,"University of New South Wales, School of Computer Science and Engineering, Australia|CSIRO, Data61, Sydney, Australia|NI",exclude,E08,DBLP's primary current affiliation is University of New South Wales; on none of the local directories
Enkelejda Kasneci,13,de-mcml;de-tu-munich;csrankings;csrankings,"Technical University of Munich, Germany",include,,on an institution directory here
Andreas Triantafyllopoulos,13,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Patrick van der Smagt,13,csrankings;csrankings,,queue,,"on a local directory, but DBLP's current affiliation is German Aerospace Center"
A. Sophia Koepke,12,de-mcml,,include,,on an institution directory here; no corroborating DBLP affiliation note
Yihong Liu 0001,12,,"Ludwig Maximilian University of Munich (LMU), Center for Information and Language Processing, Munich Center for Machine ",queue,,current DBLP affiliation here but on no institution directory
Ozgur S. Oguz,12,,"Bilkent University, Computer Engineering Department, Bilkent, Ankara, Turkey|Technical University of Munich, Germany",exclude,E08,DBLP's primary current affiliation is Bilkent University; on none of the local directories
Michael A. Hedderich,12,de-mcml,"LMU Munich, Center for Information and Language Processing, Germany",include,,on an institution directory here
Riccardo Marin,12,de-mcml;de-tu-munich,,include,,on an institution directory here; no corroborating DBLP affiliation note
Karsten M. Borgwardt,12,de-mcml,"Max Planck Institute of Biochemistry, Munich, Germany",include,,on an institution directory here
Ziyue Li 0002,12,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Seong Tae Kim 0001,12,,"Kyung Hee University, South Korea",exclude,E08,DBLP labels the affiliation former
Benjamin Roth 0001,12,,"University of Vienna, Austria",exclude,E08,CSRankings files them at University of Vienna (at)
Zhi Jin 0002,11,,"Sun Yat-sen University, School of Intelligent Systems Engineering, Shenzhen Campus, China|Technical University of Munich",exclude,E08,DBLP's primary current affiliation is Sun Yat-sen University; on none of the local directories
Marcel Binz,10,,"Helmholtz Institute for Human-Centered AI, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Mingyang Wang 0003,10,,"Bosch Center for Artificial Intelligence (BCAI), Renningen, Germany|LMU Munich, Germany|Munich Center for Machine Learni",exclude,E08,DBLP's primary current affiliation is Bosch Center for Artificial Intelligence (BCAI); on none of the local directories
Florian Matthes,10,de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Thomas Nagler,10,de-lmu-munich;de-mcml,,include,,on an institution directory here; no corroborating DBLP affiliation note
Darius Burschka,10,de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Lei Li 0038,10,,"University of Virginia, School of Data Science, USA|Technical University of Munich, Department of Computer Science, Germ",exclude,E08,DBLP's primary current affiliation is University of Virginia; on none of the local directories
Mathias Drton,10,de-mcml;de-tu-munich,,include,,on an institution directory here; no corroborating DBLP affiliation note
Berthold Bäuml,10,de-tu-munich,,include,,on an institution directory here; no corroborating DBLP affiliation note
René Ranftl,10,,"Intel Laboratory, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Stefan Andreas Baumann,10,,"LMU Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Matthias Grabmair,9,de-tu-munich;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Yu Zhang 0182,9,,"Technical University of Munich, Department of Computation, Information and Technology, Garching, Germany",queue,,current DBLP affiliation here but on no institution directory
