inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status
de-mpi-inf,supplement,MPI for Informatics,de,Saarbrücken,,,Max Planck Institute for Informatics,01w19ak89,Max Planck Institute for Informatics,Saarbrücken,49.23262,7.00982,1.00,1.00,0,,,,auto
de-mpi-sws-sb,supplement,MPI for Software Systems (Saarbrücken),de,Saarbrücken,,,Max Planck Institute for Software Systems,02pe2kf23,Max Planck Institute for Software Systems,Saarbrücken,49.23262,7.00982,1.00,1.00,0,,,,auto
de-mpi-sws-kl,supplement,MPI for Software Systems (Kaiserslautern),de,Kaiserslautern,,,Max Planck Institute for Software Systems,02pe2kf23,Max Planck Institute for Software Systems,Landau,49.19844,8.11692,1.00,1.00,0,de-tu-kaiserslautern,"expected Kaiserslautern, ROR says Saarbrücken; coords borrowed from de-tu-kaiserslautern",Second MPI-SWS site; ROR record points at Saarbrücken,auto
de-mpi-is-tue,supplement,MPI for Intelligent Systems (Tübingen),de,Tübingen,,,Max Planck Institute for Intelligent Systems,04fq9j139,Max Planck Institute for Intelligent Systems,Tübingen,48.52266,9.05222,1.00,1.00,0,de-university-of-t-bingen,"expected Tübingen, ROR says Stuttgart; coords borrowed from de-university-of-t-bingen",ROR registers MPI-IS in Stuttgart; the Tübingen campus is the AI site,auto
de-mpi-is-stu,supplement,MPI for Intelligent Systems (Stuttgart),de,Stuttgart,,,Max Planck Institute for Intelligent Systems,04fq9j139,Max Planck Institute for Intelligent Systems,Stuttgart,48.78232,9.17702,1.00,1.00,0,,,ROR location is already the Stuttgart site,auto
de-mpi-kyb,supplement,MPI for Biological Cybernetics,de,Tübingen,,,Max Planck Institute for Biological Cybernetics,026nmvv73,Max Planck Institute for Biological Cybernetics,Tübingen,48.52266,9.05222,1.00,1.00,0,,,,auto
de-mpi-sp,supplement,MPI for Security and Privacy,de,Bochum,,,Max Planck Institute for Security and Privacy,00bj0r217,Max Planck Institute for Security and Privacy,Bochum,51.48165,7.21648,1.00,1.00,0,,,,auto
de-mpi-mis,supplement,MPI for Mathematics in the Sciences,de,Leipzig,,,Max Planck Institute for Mathematics in the Sciences,00ez2he07,Max Planck Institute for Mathematics in the Sciences,Leipzig,51.33962,12.37129,1.00,1.00,0,,,,auto
de-mpi-cbg,supplement,MPI of Molecular Cell Biology and Genetics,de,Dresden,,,Max Planck Institute of Molecular Cell Biology and Genetics,05b8d3w18,Max Planck Institute of Molecular Cell Biology and Genetics,Dresden,51.05089,13.73832,1.00,1.00,0,,,,auto
de-mpi-hd-chm,supplement,MPI for Human Development (Center for Humans and Machines),de,Berlin,,,Max Planck Institute for Human Development,02pp7px91,Max Planck Institute for Human Development,Berlin,52.52437,13.41053,1.00,1.00,0,,,,auto
de-ellis-inst-tue,supplement,ELLIS Institute Tübingen,de,Tübingen,,,ELLIS Institute Tübingen,036z3g533,ELLIS Institute Tübingen,Tübingen,48.52266,9.05222,1.00,1.00,0,de-university-of-t-bingen,coords borrowed from de-university-of-t-bingen,,auto
de-tue-ai-center,supplement,Tübingen AI Center,de,Tübingen,,,Tübingen AI Center,0107nyd78,Tübingen AI Center,Tübingen,48.52266,9.05222,1.00,1.00,0,de-university-of-t-bingen,coords borrowed from de-university-of-t-bingen,,auto
de-dfki-sb,supplement,DFKI Saarbrücken,de,Saarbrücken,,,German Research Centre for Artificial Intelligence,01ayc5b57,German Research Centre for Artificial Intelligence,Saarbrücken,49.23262,7.00982,1.00,1.00,0,de-saarland-university,"expected Saarbrücken, ROR says Kaiserslautern; coords borrowed from de-saarland-university",DFKI is multi-site; anchor to the Saarbrücken campus,auto
de-dfki-kl,supplement,DFKI Kaiserslautern,de,Kaiserslautern,,,German Research Centre for Artificial Intelligence,01ayc5b57,German Research Centre for Artificial Intelligence,Landau,49.19844,8.11692,1.00,1.00,0,de-tu-kaiserslautern,coords borrowed from de-tu-kaiserslautern,,auto
de-dfki-hb,supplement,DFKI Robotics Innovation Center,de,Bremen,,,German Research Centre for Artificial Intelligence,01ayc5b57,German Research Centre for Artificial Intelligence,Bremen,53.07582,8.80717,1.00,1.00,0,de-university-of-bremen,"expected Bremen, ROR says Kaiserslautern; coords borrowed from de-university-of-bremen",,auto
de-dfki-be,supplement,DFKI Berlin,de,Berlin,,,German Research Centre for Artificial Intelligence,01ayc5b57,German Research Centre for Artificial Intelligence,Berlin,52.52437,13.41053,1.00,1.00,0,de-tu-berlin,"expected Berlin, ROR says Kaiserslautern; coords borrowed from de-tu-berlin",,auto
de-helmholtz-munich,supplement,Helmholtz Munich,de,München,,,Helmholtz Zentrum München,00cfam450,Helmholtz Munich,Munich,48.13743,11.57549,1.00,1.00,0,,"expected München, ROR says Munich",,auto
de-mcml,supplement,Munich Center for Machine Learning,de,München,,,Munich Center for Machine Learning,02nfy3535,Munich Center for Machine Learning,Munich,48.13743,11.57549,1.00,1.00,0,de-lmu-munich,"expected München, ROR says Munich; coords borrowed from de-lmu-munich",Virtual centre; members hold LMU or TUM chairs,auto
de-bifold,supplement,BIFOLD Berlin Institute for the Foundations of Learning and Data,de,Berlin,,,BIFOLD,,,Berlin,52.52437,13.41053,,,,de-tu-berlin,coords borrowed from de-tu-berlin,Virtual centre hosted at TU Berlin | no reliable ROR record; anchored to a neighbour,anchored
de-lamarr,supplement,Lamarr Institute,de,Dortmund,,,Lamarr Institute for Machine Learning and Artificial Intelligence,04s11ea33,Lamarr Institute for Machine Learning and Artificial Intelligence,Dortmund,51.51494,7.466,1.00,1.00,0,de-tu-dortmund,"expected Dortmund, ROR says Sankt Augustin; coords borrowed from de-tu-dortmund",Sites in Dortmund Bonn Aachen Sankt Augustin,auto
